address,all_adult_hospital_beds_7_day_avg,all_adult_hospital_beds_7_day_coverage,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_coverage,all_adult_hospital_inpatient_bed_occupied_7_day_sum,all_adult_hospital_inpatient_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_coverage,all_adult_hospital_inpatient_beds_7_day_sum,all_pediatric_inpatient_bed_occupied_7_day_avg,all_pediatric_inpatient_bed_occupied_7_day_coverage,all_pediatric_inpatient_bed_occupied_7_day_sum,all_pediatric_inpatient_beds_7_day_avg,all_pediatric_inpatient_beds_7_day_coverage,all_pediatric_inpatient_beds_7_day_sum,ccn,city,collection_week,fips_code,geocoded_hospital_address,hhs_ids,hospital_name,hospital_pk,hospital_subtype,icu_beds_used_7_day_avg,icu_beds_used_7_day_coverage,icu_beds_used_7_day_sum,icu_patients_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_coverage,icu_patients_confirmed_influenza_7_day_sum,inpatient_beds_7_day_avg,inpatient_beds_7_day_coverage,inpatient_beds_7_day_sum,inpatient_beds_used_7_day_avg,inpatient_beds_used_7_day_coverage,inpatient_beds_used_7_day_sum,inpatient_beds_used_covid_7_day_avg,inpatient_beds_used_covid_7_day_coverage,inpatient_beds_used_covid_7_day_sum,is_metro_micro,previous_day_admission_adult_covid_confirmed_18-19_7_day_sum,previous_day_admission_adult_covid_confirmed_20-29_7_day_sum,previous_day_admission_adult_covid_confirmed_30-39_7_day_sum,previous_day_admission_adult_covid_confirmed_40-49_7_day_sum,previous_day_admission_adult_covid_confirmed_50-59_7_day_sum,previous_day_admission_adult_covid_confirmed_60-69_7_day_sum,previous_day_admission_adult_covid_confirmed_70-79_7_day_sum,previous_day_admission_adult_covid_confirmed_7_day_coverage,previous_day_admission_adult_covid_confirmed_7_day_sum,previous_day_admission_adult_covid_confirmed_80+_7_day_sum,previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,previous_day_admission_adult_covid_suspected_18-19_7_day_sum,previous_day_admission_adult_covid_suspected_20-29_7_day_sum,previous_day_admission_adult_covid_suspected_30-39_7_day_sum,previous_day_admission_adult_covid_suspected_40-49_7_day_sum,previous_day_admission_adult_covid_suspected_50-59_7_day_sum,previous_day_admission_adult_covid_suspected_60-69_7_day_sum,previous_day_admission_adult_covid_suspected_70-79_7_day_sum,previous_day_admission_adult_covid_suspected_7_day_coverage,previous_day_admission_adult_covid_suspected_7_day_sum,previous_day_admission_adult_covid_suspected_80+_7_day_sum,previous_day_admission_adult_covid_suspected_unknown_7_day_sum,previous_day_admission_influenza_confirmed_7_day_sum,previous_day_admission_pediatric_covid_confirmed_0_4_7_day_sum,previous_day_admission_pediatric_covid_confirmed_12_17_7_day_sum,previous_day_admission_pediatric_covid_confirmed_5_11_7_day_sum,previous_day_admission_pediatric_covid_confirmed_7_day_coverage,previous_day_admission_pediatric_covid_confirmed_7_day_sum,previous_day_admission_pediatric_covid_confirmed_unknown_7_day_sum,previous_day_admission_pediatric_covid_suspected_7_day_coverage,previous_day_admission_pediatric_covid_suspected_7_day_sum,previous_day_covid_ED_visits_7_day_sum,previous_day_total_ED_visits_7_day_sum,previous_week_patients_covid_vaccinated_doses_all_7_day,previous_week_patients_covid_vaccinated_doses_one_7_day,previous_week_personnel_covid_vaccinated_doses_administered_7_day,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_coverage,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_coverage,staffed_icu_adult_patients_confirmed_covid_7_day_sum,staffed_icu_pediatric_patients_confirmed_covid_7_day_avg,staffed_icu_pediatric_patients_confirmed_covid_7_day_coverage,staffed_icu_pediatric_patients_confirmed_covid_7_day_sum,staffed_pediatric_icu_bed_occupancy_7_day_avg,staffed_pediatric_icu_bed_occupancy_7_day_coverage,staffed_pediatric_icu_bed_occupancy_7_day_sum,state,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_beds_7_day_avg,total_beds_7_day_coverage,total_beds_7_day_sum,total_icu_beds_7_day_avg,total_icu_beds_7_day_coverage,total_icu_beds_7_day_sum,total_patients_hospitalized_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_coverage,total_patients_hospitalized_confirmed_influenza_7_day_sum,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,total_personnel_covid_vaccinated_doses_all_7_day,total_personnel_covid_vaccinated_doses_none_7_day,total_personnel_covid_vaccinated_doses_one_7_day,total_staffed_adult_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_coverage,total_staffed_adult_icu_beds_7_day_sum,total_staffed_pediatric_icu_beds_7_day_avg,total_staffed_pediatric_icu_beds_7_day_coverage,total_staffed_pediatric_icu_beds_7_day_sum,zip
1815 HAND AVENUE,75.0,7.0,525.0,32.0,7.0,224.0,61.0,7.0,427.0,0.0,7.0,0.0,0.0,7.0,0.0,010129,BAY MINETTE,2022-09-23,1003.0,POINT (-87.783711 30.903337),[C010129-A],NORTH BALDWIN INFIRMARY,010129,Short Term,,7.0,25.0,0.0,7.0,0.0,61.0,7.0,427.0,32.0,7.0,224.0,,7.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,94.0,318.0,,,,,7.0,25.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,AL,,7.0,,,7.0,,75.0,7.0,525.0,5.0,7.0,35.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,,,,5.0,7.0,35.0,0.0,7.0,0.0,36507
820 W WASHINGTON ST,49.9,7.0,349.0,18.3,7.0,128.0,42.9,7.0,300.0,0.0,7.0,0.0,0.0,7.0,0.0,010069,EUFAULA,2022-09-23,1005.0,POINT (-85.156644 31.887979),[C010069-A],MEDICAL CENTER BARBOUR,010069,Short Term,,7.0,10.0,0.0,7.0,0.0,42.9,7.0,300.0,18.3,7.0,128.0,,7.0,13.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,,239.0,,,,,7.0,10.0,,7.0,,,7.0,,0.0,7.0,0.0,0.0,7.0,0.0,AL,,7.0,13.0,,7.0,13.0,49.9,7.0,349.0,5.0,7.0,35.0,0.0,7.0,0.0,,0.0,,0.0,7.0,0.0,0.0,7.0,0.0,,,,5.0,7.0,35.0,0.0,7.0,0.0,36027
400 EAST 10TH STREET,207.3,7.0,1451.0,168.6,7.0,1180.0,189.3,7.0,1325.0,0.0,7.0,0.0,0.0,7.0,0.0,010078,ANNISTON,2022-09-23,1015.0,POINT (-85.823647 33.657122),[C010078-A],NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,010078,Short Term,15.0,7.0,105.0,,7.0,5.0,189.3,7.0,1325.0,168.6,7.0,1180.0,4.0,7.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,,616.0,,,,15.0,7.0,105.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,AL,4.0,7.0,28.0,4.0,7.0,28.0,207.3,7.0,1451.0,14.9,7.0,104.0,,7.0,5.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,,,,14.9,7.0,104.0,0.0,7.0,0.0,36207
2030 LAY DAM ROAD,44.0,7.0,308.0,9.4,7.0,66.0,34.0,7.0,238.0,0.0,7.0,0.0,0.0,7.0,0.0,010173,CLANTON,2022-09-23,1021.0,POINT (-86.623511 32.876583),[C010173-A],ST VINCENT'S CHILTON,010173,Short Term,,7.0,4.0,0.0,7.0,0.0,34.0,7.0,238.0,9.4,7.0,66.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,50.0,359.0,,,,,7.0,4.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,AL,0.0,7.0,0.0,0.0,7.0,0.0,44.0,7.0,308.0,6.0,7.0,42.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,,,,6.0,7.0,42.0,0.0,7.0,0.0,35045
83825 HIGHWAY 9    P O BOX 1270,40.0,7.0,280.0,15.7,7.0,110.0,35.0,7.0,245.0,0.0,7.0,0.0,,7.0,7.0,010073,ASHLAND,2022-09-23,1027.0,POINT (-85.823875 33.276514),[C010073-A],CLAY COUNTY HOSPITAL,010073,Short Term,,7.0,7.0,0.0,7.0,0.0,36.0,7.0,252.0,15.7,7.0,110.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,17.0,114.0,,,,,7.0,7.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,AL,0.0,7.0,0.0,,7.0,6.0,41.0,7.0,287.0,4.0,7.0,28.0,0.0,7.0,0.0,,0.0,,0.0,7.0,0.0,0.0,7.0,0.0,,,,4.0,7.0,28.0,0.0,7.0,0.0,36251
1300 SOUTH MONTGOMERY AVENUE,192.0,7.0,1344.0,79.1,7.0,554.0,168.0,7.0,1176.0,5.6,7.0,39.0,16.0,7.0,112.0,010019,SHEFFIELD,2022-09-23,1033.0,POINT (-87.6989 34.74645),[C010019-A],HELEN KELLER MEMORIAL HOSPITAL,010019,Short Term,6.1,7.0,43.0,0.0,7.0,0.0,184.0,7.0,1288.0,84.7,7.0,593.0,4.1,7.0,29.0,1.0,0.0,0.0,0.0,0.0,,,,7.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,,0.0,7.0,0.0,171.0,709.0,,,,6.1,7.0,43.0,,7.0,5.0,,7.0,5.0,0.0,7.0,0.0,0.0,7.0,0.0,AL,4.0,7.0,28.0,4.0,7.0,28.0,208.0,7.0,1456.0,18.0,7.0,126.0,0.0,7.0,0.0,0.0,7.0,0.0,,7.0,,,7.0,,,,,18.0,7.0,126.0,0.0,7.0,0.0,35660
702 N MAIN ST,40.0,7.0,280.0,23.4,7.0,164.0,33.0,7.0,231.0,0.0,7.0,0.0,0.0,7.0,0.0,010007,OPP,2022-09-23,1039.0,POINT (-86.255414 31.292006),[C010007-A],MIZELL MEMORIAL HOSPITAL,010007,Short Term,,7.0,9.0,,7.0,,33.0,7.0,231.0,23.4,7.0,164.0,,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,18.0,223.0,,,,,7.0,9.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,AL,,7.0,,,7.0,,40.0,7.0,280.0,5.0,7.0,35.0,,7.0,,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,,,,5.0,7.0,35.0,0.0,7.0,0.0,36467
1912 ALABAMA HIGHWAY 157,181.0,7.0,1267.0,121.4,7.0,850.0,157.0,7.0,1099.0,,7.0,8.0,4.0,7.0,28.0,010035,CULLMAN,2022-09-23,1043.0,POINT (-86.80426 34.19856),[C010035-A],CULLMAN REGIONAL MEDICAL CENTER,010035,Short Term,9.7,7.0,68.0,0.0,7.0,0.0,161.0,7.0,1127.0,122.6,7.0,858.0,5.3,7.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,,,7.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,383.0,902.0,,,,9.7,7.0,68.0,,7.0,7.0,,7.0,7.0,0.0,7.0,0.0,0.0,7.0,0.0,AL,5.3,7.0,37.0,5.3,7.0,37.0,185.0,7.0,1295.0,11.0,7.0,77.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,,,,11.0,7.0,77.0,0.0,7.0,0.0,35058
126 HOSPITAL AVE,63.0,7.0,441.0,24.6,7.0,172.0,51.0,7.0,357.0,0.0,7.0,0.0,0.0,7.0,0.0,010021,OZARK,2022-09-23,1045.0,POINT (-85.630958 31.451637),[C010021-A],DALE MEDICAL CENTER,010021,Short Term,,7.0,6.0,0.0,7.0,0.0,51.0,7.0,357.0,24.6,7.0,172.0,,7.0,10.0,1.0,0.0,0.0,0.0,0.0,,0.0,,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,108.0,327.0,,,,,7.0,6.0,,7.0,,,7.0,,0.0,7.0,0.0,0.0,7.0,0.0,AL,,7.0,10.0,,7.0,10.0,63.0,7.0,441.0,5.0,7.0,35.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,,,,5.0,7.0,35.0,0.0,7.0,0.0,36360
1301 BELLEVILLE AVENUE,57.0,7.0,399.0,21.0,7.0,147.0,48.0,7.0,336.0,0.0,7.0,0.0,4.0,7.0,28.0,010099,BREWTON,2022-09-23,1053.0,POINT (-87.07244 31.1272),[C010099-A],D W MCMILLAN MEMORIAL HOSPITAL,010099,Short Term,,7.0,26.0,0.0,7.0,0.0,54.0,7.0,378.0,21.0,7.0,147.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,23.0,225.0,,,,,7.0,26.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,AL,0.0,7.0,0.0,0.0,7.0,0.0,63.0,7.0,441.0,10.0,7.0,70.0,,7.0,6.0,,7.0,,0.0,7.0,0.0,0.0,7.0,0.0,,,,8.0,7.0,56.0,0.0,7.0,0.0,36426
